Causa de muerte (lista reducida);Mes de defunción;Sexo;Periodo;Total
009-041 II.Tumores;Abril;Hombres;2022;5.527
009-041 II.Tumores;Abril;Hombres;2021;5.436
009-041 II.Tumores;Abril;Hombres;2020;5.133
009-041 II.Tumores;Abril;Hombres;2019;5.466
009-041 II.Tumores;Abril;Hombres;2018;5.470
009-041 II.Tumores;Abril;Mujeres;2022;3.836
009-041 II.Tumores;Abril;Mujeres;2021;3.687
009-041 II.Tumores;Abril;Mujeres;2020;3.482
009-041 II.Tumores;Abril;Mujeres;2019;3.578
009-041 II.Tumores;Abril;Mujeres;2018;3.535
009-041 II.Tumores;Mayo;Hombres;2022;5.665
009-041 II.Tumores;Mayo;Hombres;2021;5.707
009-041 II.Tumores;Mayo;Hombres;2020;5.449
009-041 II.Tumores;Mayo;Hombres;2019;5.785
009-041 II.Tumores;Mayo;Hombres;2018;5.618
009-041 II.Tumores;Mayo;Mujeres;2022;3.847
009-041 II.Tumores;Mayo;Mujeres;2021;3.831
009-041 II.Tumores;Mayo;Mujeres;2020;3.590
009-041 II.Tumores;Mayo;Mujeres;2019;3.763
009-041 II.Tumores;Mayo;Mujeres;2018;3.732
009-041 II.Tumores;Junio;Hombres;2022;5.505
009-041 II.Tumores;Junio;Hombres;2021;5.447
009-041 II.Tumores;Junio;Hombres;2020;5.184
009-041 II.Tumores;Junio;Hombres;2019;5.383
009-041 II.Tumores;Junio;Hombres;2018;5.505
009-041 II.Tumores;Junio;Mujeres;2022;3.738
009-041 II.Tumores;Junio;Mujeres;2021;3.765
009-041 II.Tumores;Junio;Mujeres;2020;3.691
009-041 II.Tumores;Junio;Mujeres;2019;3.728
009-041 II.Tumores;Junio;Mujeres;2018;3.654
009-041 II.Tumores;Julio;Hombres;2022;5.810
009-041 II.Tumores;Julio;Hombres;2021;5.897
009-041 II.Tumores;Julio;Hombres;2020;5.884
009-041 II.Tumores;Julio;Hombres;2019;5.679
009-041 II.Tumores;Julio;Hombres;2018;5.611
009-041 II.Tumores;Julio;Mujeres;2022;4.108
009-041 II.Tumores;Julio;Mujeres;2021;4.016
009-041 II.Tumores;Julio;Mujeres;2020;3.935
009-041 II.Tumores;Julio;Mujeres;2019;3.699
009-041 II.Tumores;Julio;Mujeres;2018;3.608
009-041 II.Tumores;Agosto;Hombres;2022;5.817
009-041 II.Tumores;Agosto;Hombres;2021;5.702
009-041 II.Tumores;Agosto;Hombres;2020;5.499
009-041 II.Tumores;Agosto;Hombres;2019;5.628
009-041 II.Tumores;Agosto;Hombres;2018;5.629
009-041 II.Tumores;Agosto;Mujeres;2022;4.027
009-041 II.Tumores;Agosto;Mujeres;2021;3.877
009-041 II.Tumores;Agosto;Mujeres;2020;3.829
009-041 II.Tumores;Agosto;Mujeres;2019;3.733
009-041 II.Tumores;Agosto;Mujeres;2018;3.741
009-041 II.Tumores;Septiembre;Hombres;2022;5.422
009-041 II.Tumores;Septiembre;Hombres;2021;5.501
009-041 II.Tumores;Septiembre;Hombres;2020;5.462
009-041 II.Tumores;Septiembre;Hombres;2019;5.355
009-041 II.Tumores;Septiembre;Hombres;2018;5.497
009-041 II.Tumores;Septiembre;Mujeres;2022;3.710
009-041 II.Tumores;Septiembre;Mujeres;2021;3.745
009-041 II.Tumores;Septiembre;Mujeres;2020;3.681
009-041 II.Tumores;Septiembre;Mujeres;2019;3.708
009-041 II.Tumores;Septiembre;Mujeres;2018;3.582
009-041 II.Tumores;Octubre;Hombres;2022;5.713
009-041 II.Tumores;Octubre;Hombres;2021;5.774
009-041 II.Tumores;Octubre;Hombres;2020;5.806
009-041 II.Tumores;Octubre;Hombres;2019;5.836
009-041 II.Tumores;Octubre;Hombres;2018;5.868
009-041 II.Tumores;Octubre;Mujeres;2022;3.903
009-041 II.Tumores;Octubre;Mujeres;2021;3.928
009-041 II.Tumores;Octubre;Mujeres;2020;3.925
009-041 II.Tumores;Octubre;Mujeres;2019;3.877
009-041 II.Tumores;Octubre;Mujeres;2018;3.761
009-041 II.Tumores;Noviembre;Hombres;2022;5.529
009-041 II.Tumores;Noviembre;Hombres;2021;5.800
009-041 II.Tumores;Noviembre;Hombres;2020;5.299
009-041 II.Tumores;Noviembre;Hombres;2019;5.779
009-041 II.Tumores;Noviembre;Hombres;2018;5.663
009-041 II.Tumores;Noviembre;Mujeres;2022;3.903
009-041 II.Tumores;Noviembre;Mujeres;2021;3.945
009-041 II.Tumores;Noviembre;Mujeres;2020;3.663
009-041 II.Tumores;Noviembre;Mujeres;2019;3.743
009-041 II.Tumores;Noviembre;Mujeres;2018;3.652
009-041 II.Tumores;Diciembre;Hombres;2022;6.003
009-041 II.Tumores;Diciembre;Hombres;2021;6.007
009-041 II.Tumores;Diciembre;Hombres;2020;5.647
009-041 II.Tumores;Diciembre;Hombres;2019;5.702
009-041 II.Tumores;Diciembre;Hombres;2018;5.894
009-041 II.Tumores;Diciembre;Mujeres;2022;4.048
009-041 II.Tumores;Diciembre;Mujeres;2021;3.957
009-041 II.Tumores;Diciembre;Mujeres;2020;3.738
009-041 II.Tumores;Diciembre;Mujeres;2019;3.851
009-041 II.Tumores;Diciembre;Mujeres;2018;3.849
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Enero;Hombres;2022;101
