Causa de muerte (lista reducida);Mes de defunción;Sexo;Periodo;Total
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Agosto;Mujeres;2021;103
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Agosto;Mujeres;2020;84
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Agosto;Mujeres;2019;95
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Agosto;Mujeres;2018;86
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Hombres;2022;69
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Hombres;2021;57
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Hombres;2020;57
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Hombres;2019;61
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Hombres;2018;74
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Mujeres;2022;84
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Mujeres;2021;91
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Mujeres;2020;93
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Mujeres;2019;67
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Septiembre;Mujeres;2018;69
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Hombres;2022;74
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Hombres;2021;81
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Hombres;2020;73
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Hombres;2019;68
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Hombres;2018;72
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Mujeres;2022;112
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Mujeres;2021;99
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Mujeres;2020;78
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Mujeres;2019;89
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Octubre;Mujeres;2018;84
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Hombres;2022;73
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Hombres;2021;83
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Hombres;2020;80
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Hombres;2019;83
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Hombres;2018;81
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Mujeres;2022;119
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Mujeres;2021;105
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Mujeres;2020;99
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Mujeres;2019;111
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Noviembre;Mujeres;2018;93
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Hombres;2022;98
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Hombres;2021;111
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Hombres;2020;74
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Hombres;2019;83
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Hombres;2018;81
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Mujeres;2022;121
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Mujeres;2021;130
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Mujeres;2020;117
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Mujeres;2019;104
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Diciembre;Mujeres;2018;68
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Hombres;2022;701
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Hombres;2021;790
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Hombres;2020;638
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Hombres;2019;664
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Hombres;2018;635
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Mujeres;2022;890
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Mujeres;2021;885
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Mujeres;2020;784
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Mujeres;2019;830
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Enero;Mujeres;2018;805
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Hombres;2022;572
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Hombres;2021;557
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Hombres;2020;506
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Hombres;2019;557
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Hombres;2018;560
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Mujeres;2022;637
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Mujeres;2021;663
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Mujeres;2020;644
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Mujeres;2019;668
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Febrero;Mujeres;2018;746
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Hombres;2022;575
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Hombres;2021;608
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Hombres;2020;730
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Hombres;2019;526
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Hombres;2018;540
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Mujeres;2022;689
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Mujeres;2021;716
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Mujeres;2020;916
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Mujeres;2019;662
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Marzo;Mujeres;2018;701
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Hombres;2022;567
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Hombres;2021;493
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Hombres;2020;654
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Hombres;2019;498
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Hombres;2018;478
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Mujeres;2022;690
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Mujeres;2021;671
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Mujeres;2020;873
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Mujeres;2019;629
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Abril;Mujeres;2018;638
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Hombres;2022;621
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Hombres;2021;542
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Hombres;2020;498
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Hombres;2019;412
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Hombres;2018;451
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Mujeres;2022;735
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Mujeres;2021;635
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Mujeres;2020;676
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Mujeres;2019;574
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mayo;Mujeres;2018;601
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Hombres;2022;560
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Hombres;2021;482
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Hombres;2020;447
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Hombres;2019;448
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Hombres;2018;440
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Mujeres;2022;752
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Mujeres;2021;571
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Mujeres;2020;569
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Mujeres;2019;550
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Junio;Mujeres;2018;569
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Hombres;2022;698
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Hombres;2021;519
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Hombres;2020;490
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Hombres;2019;442
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Hombres;2018;433
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Mujeres;2022;897
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Mujeres;2021;695
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Mujeres;2020;675
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Mujeres;2019;674
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Julio;Mujeres;2018;573
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Hombres;2022;580
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Hombres;2021;544
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Hombres;2020;498
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Hombres;2019;450
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Hombres;2018;462
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Mujeres;2022;752
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Mujeres;2021;766
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Mujeres;2020;701
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Mujeres;2019;536
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Agosto;Mujeres;2018;566
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Hombres;2022;434
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Hombres;2021;447
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Hombres;2020;467
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Hombres;2019;444
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Hombres;2018;394
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Mujeres;2022;592
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Mujeres;2021;572
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Mujeres;2020;599
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Mujeres;2019;488
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Septiembre;Mujeres;2018;480
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Hombres;2022;516
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Hombres;2021;505
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Hombres;2020;585
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Hombres;2019;401
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Hombres;2018;458
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Mujeres;2022;649
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Mujeres;2021;682
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Mujeres;2020;644
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Mujeres;2019;581
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Octubre;Mujeres;2018;557
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Hombres;2022;540
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Hombres;2021;582
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Hombres;2020;576
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Hombres;2019;484
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Hombres;2018;513
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Mujeres;2022;691
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Mujeres;2021;724
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Mujeres;2020;672
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Mujeres;2019;638
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Noviembre;Mujeres;2018;620
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Hombres;2022;658
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Hombres;2021;655
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Hombres;2020;646
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Hombres;2019;542
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Hombres;2018;540
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Mujeres;2022;868
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Mujeres;2021;820
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Mujeres;2020;802
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Mujeres;2019;653
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Diciembre;Mujeres;2018;705
046-049 V.Trastornos mentales y del comportamiento;Enero;Hombres;2022;665
046-049 V.Trastornos mentales y del comportamiento;Enero;Hombres;2021;689
046-049 V.Trastornos mentales y del comportamiento;Enero;Hombres;2020;784
046-049 V.Trastornos mentales y del comportamiento;Enero;Hombres;2019;833
046-049 V.Trastornos mentales y del comportamiento;Enero;Hombres;2018;786
046-049 V.Trastornos mentales y del comportamiento;Enero;Mujeres;2022;1.290
046-049 V.Trastornos mentales y del comportamiento;Enero;Mujeres;2021;1.250
046-049 V.Trastornos mentales y del comportamiento;Enero;Mujeres;2020;1.437
046-049 V.Trastornos mentales y del comportamiento;Enero;Mujeres;2019;1.617
046-049 V.Trastornos mentales y del comportamiento;Enero;Mujeres;2018;1.716
046-049 V.Trastornos mentales y del comportamiento;Febrero;Hombres;2022;553
046-049 V.Trastornos mentales y del comportamiento;Febrero;Hombres;2021;494
046-049 V.Trastornos mentales y del comportamiento;Febrero;Hombres;2020;615
046-049 V.Trastornos mentales y del comportamiento;Febrero;Hombres;2019;709
046-049 V.Trastornos mentales y del comportamiento;Febrero;Hombres;2018;652
046-049 V.Trastornos mentales y del comportamiento;Febrero;Mujeres;2022;1.155
046-049 V.Trastornos mentales y del comportamiento;Febrero;Mujeres;2021;930
046-049 V.Trastornos mentales y del comportamiento;Febrero;Mujeres;2020;1.271
046-049 V.Trastornos mentales y del comportamiento;Febrero;Mujeres;2019;1.369
046-049 V.Trastornos mentales y del comportamiento;Febrero;Mujeres;2018;1.351
046-049 V.Trastornos mentales y del comportamiento;Marzo;Hombres;2022;611
046-049 V.Trastornos mentales y del comportamiento;Marzo;Hombres;2021;543
046-049 V.Trastornos mentales y del comportamiento;Marzo;Hombres;2020;786
046-049 V.Trastornos mentales y del comportamiento;Marzo;Hombres;2019;660
046-049 V.Trastornos mentales y del comportamiento;Marzo;Hombres;2018;716
046-049 V.Trastornos mentales y del comportamiento;Marzo;Mujeres;2022;1.172
046-049 V.Trastornos mentales y del comportamiento;Marzo;Mujeres;2021;1.046
046-049 V.Trastornos mentales y del comportamiento;Marzo;Mujeres;2020;1.428
046-049 V.Trastornos mentales y del comportamiento;Marzo;Mujeres;2019;1.295
046-049 V.Trastornos mentales y del comportamiento;Marzo;Mujeres;2018;1.349
046-049 V.Trastornos mentales y del comportamiento;Abril;Hombres;2022;569
046-049 V.Trastornos mentales y del comportamiento;Abril;Hombres;2021;533
046-049 V.Trastornos mentales y del comportamiento;Abril;Hombres;2020;587
046-049 V.Trastornos mentales y del comportamiento;Abril;Hombres;2019;654
046-049 V.Trastornos mentales y del comportamiento;Abril;Hombres;2018;649
046-049 V.Trastornos mentales y del comportamiento;Abril;Mujeres;2022;1.092
046-049 V.Trastornos mentales y del comportamiento;Abril;Mujeres;2021;1.006
046-049 V.Trastornos mentales y del comportamiento;Abril;Mujeres;2020;1.356
046-049 V.Trastornos mentales y del comportamiento;Abril;Mujeres;2019;1.208
046-049 V.Trastornos mentales y del comportamiento;Abril;Mujeres;2018;1.191
046-049 V.Trastornos mentales y del comportamiento;Mayo;Hombres;2022;572
046-049 V.Trastornos mentales y del comportamiento;Mayo;Hombres;2021;572
046-049 V.Trastornos mentales y del comportamiento;Mayo;Hombres;2020;467
046-049 V.Trastornos mentales y del comportamiento;Mayo;Hombres;2019;607
046-049 V.Trastornos mentales y del comportamiento;Mayo;Hombres;2018;601
046-049 V.Trastornos mentales y del comportamiento;Mayo;Mujeres;2022;1.200
046-049 V.Trastornos mentales y del comportamiento;Mayo;Mujeres;2021;1.033
046-049 V.Trastornos mentales y del comportamiento;Mayo;Mujeres;2020;1.047
046-049 V.Trastornos mentales y del comportamiento;Mayo;Mujeres;2019;1.236
046-049 V.Trastornos mentales y del comportamiento;Mayo;Mujeres;2018;1.079
046-049 V.Trastornos mentales y del comportamiento;Junio;Hombres;2022;620
046-049 V.Trastornos mentales y del comportamiento;Junio;Hombres;2021;588
046-049 V.Trastornos mentales y del comportamiento;Junio;Hombres;2020;474
046-049 V.Trastornos mentales y del comportamiento;Junio;Hombres;2019;594
046-049 V.Trastornos mentales y del comportamiento;Junio;Hombres;2018;580
046-049 V.Trastornos mentales y del comportamiento;Junio;Mujeres;2022;1.315
046-049 V.Trastornos mentales y del comportamiento;Junio;Mujeres;2021;1.080
046-049 V.Trastornos mentales y del comportamiento;Junio;Mujeres;2020;997
046-049 V.Trastornos mentales y del comportamiento;Junio;Mujeres;2019;1.135
046-049 V.Trastornos mentales y del comportamiento;Junio;Mujeres;2018;1.057
046-049 V.Trastornos mentales y del comportamiento;Julio;Hombres;2022;723
046-049 V.Trastornos mentales y del comportamiento;Julio;Hombres;2021;615
046-049 V.Trastornos mentales y del comportamiento;Julio;Hombres;2020;651
046-049 V.Trastornos mentales y del comportamiento;Julio;Hombres;2019;665
046-049 V.Trastornos mentales y del comportamiento;Julio;Hombres;2018;569
046-049 V.Trastornos mentales y del comportamiento;Julio;Mujeres;2022;1.692
046-049 V.Trastornos mentales y del comportamiento;Julio;Mujeres;2021;1.119
046-049 V.Trastornos mentales y del comportamiento;Julio;Mujeres;2020;1.372
046-049 V.Trastornos mentales y del comportamiento;Julio;Mujeres;2019;1.293
046-049 V.Trastornos mentales y del comportamiento;Julio;Mujeres;2018;1.197
046-049 V.Trastornos mentales y del comportamiento;Agosto;Hombres;2022;746
046-049 V.Trastornos mentales y del comportamiento;Agosto;Hombres;2021;611
046-049 V.Trastornos mentales y del comportamiento;Agosto;Hombres;2020;673
046-049 V.Trastornos mentales y del comportamiento;Agosto;Hombres;2019;632
046-049 V.Trastornos mentales y del comportamiento;Agosto;Hombres;2018;646
046-049 V.Trastornos mentales y del comportamiento;Agosto;Mujeres;2022;1.412
046-049 V.Trastornos mentales y del comportamiento;Agosto;Mujeres;2021;1.175
046-049 V.Trastornos mentales y del comportamiento;Agosto;Mujeres;2020;1.436
046-049 V.Trastornos mentales y del comportamiento;Agosto;Mujeres;2019;1.187
046-049 V.Trastornos mentales y del comportamiento;Agosto;Mujeres;2018;1.249
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Hombres;2022;605
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Hombres;2021;553
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Hombres;2020;530
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Hombres;2019;538
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Hombres;2018;564
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Mujeres;2022;1.107
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Mujeres;2021;1.072
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Mujeres;2020;1.018
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Mujeres;2019;980
046-049 V.Trastornos mentales y del comportamiento;Septiembre;Mujeres;2018;1.021
046-049 V.Trastornos mentales y del comportamiento;Octubre;Hombres;2022;591
046-049 V.Trastornos mentales y del comportamiento;Octubre;Hombres;2021;585
046-049 V.Trastornos mentales y del comportamiento;Octubre;Hombres;2020;537
046-049 V.Trastornos mentales y del comportamiento;Octubre;Hombres;2019;620
046-049 V.Trastornos mentales y del comportamiento;Octubre;Hombres;2018;568
046-049 V.Trastornos mentales y del comportamiento;Octubre;Mujeres;2022;1.147
046-049 V.Trastornos mentales y del comportamiento;Octubre;Mujeres;2021;1.110
046-049 V.Trastornos mentales y del comportamiento;Octubre;Mujeres;2020;1.063
046-049 V.Trastornos mentales y del comportamiento;Octubre;Mujeres;2019;1.143
046-049 V.Trastornos mentales y del comportamiento;Octubre;Mujeres;2018;1.093
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Hombres;2022;581
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Hombres;2021;616
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Hombres;2020;518
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Hombres;2019;649
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Hombres;2018;597
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Mujeres;2022;1.156
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Mujeres;2021;1.212
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Mujeres;2020;1.006
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Mujeres;2019;1.251
046-049 V.Trastornos mentales y del comportamiento;Noviembre;Mujeres;2018;1.207
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Hombres;2022;669
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Hombres;2021;731
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Hombres;2020;528
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Hombres;2019;714
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Hombres;2018;677
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Mujeres;2022;1.377
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Mujeres;2021;1.349
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Mujeres;2020;1.116
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Mujeres;2019;1.307
046-049 V.Trastornos mentales y del comportamiento;Diciembre;Mujeres;2018;1.261
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Hombres;2022;977
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Hombres;2021;984
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Hombres;2020;1.090
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Hombres;2019;1.113
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Hombres;2018;1.201
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Mujeres;2022;1.451
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Mujeres;2021;1.488
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Enero;Mujeres;2020;1.581
