Causas (lista reducida);Sexo;Provincia de residencia;Total
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Soria;124
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Tarragona;683
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Teruel;174
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Toledo;546
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Valencia/Valncia;1.861
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Valladolid;567
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Zamora;329
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Zaragoza;1.102
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ceuta;59
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Melilla;62
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Extranjero;183
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Total;20.096
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Albacete;180
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Alicante/Alacant;657
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Almería;290
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Araba/Alava;139
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Asturias;748
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Avila;126
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Badajoz;298
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Balears, Illes;383
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Barcelona;2.372
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Bizkaia;597
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Burgos;209
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cáceres;230
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cádiz;365
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cantabria;263
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Castellón/Castelló;272
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ciudad Real;197
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Córdoba;331
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Coruña, A;473
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Cuenca;121
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Gipuzkoa;361
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Girona;297
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Granada;266
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Guadalajara;102
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Huelva;165
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Huesca;159
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Jaén;334
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;León;413
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Lleida;278
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Lugo;156
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Madrid;2.362
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Málaga;568
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Murcia;596
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Navarra;300
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ourense;176
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Palencia;124
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Palmas, Las;428
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Pontevedra;356
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Rioja, La;96
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Salamanca;219
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Santa Cruz de Tenerife;437
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Segovia;55
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Sevilla;648
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Soria;64
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Tarragona;350
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Teruel;99
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Toledo;278
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Valencia/Valncia;950
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Valladolid;277
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Zamora;161
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Zaragoza;588
