Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Periodo;Total
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2019;195.388
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2018;196.619
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2022;195.849
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2021;196.607
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2020;197.766
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2019;198.763
10 Cáceres;TOTAL EDADES;TOTAL;Mujeres;2018;199.868
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.246.781
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.245.960
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.244.049
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.240.155
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.238.714
11 Cádiz;TOTAL EDADES;TOTAL;Hombres;2022;614.247
11 Cádiz;TOTAL EDADES;TOTAL;Hombres;2021;614.084
11 Cádiz;TOTAL EDADES;TOTAL;Hombres;2020;613.561
11 Cádiz;TOTAL EDADES;TOTAL;Hombres;2019;611.791
11 Cádiz;TOTAL EDADES;TOTAL;Hombres;2018;611.357
11 Cádiz;TOTAL EDADES;TOTAL;Mujeres;2022;632.534
11 Cádiz;TOTAL EDADES;TOTAL;Mujeres;2021;631.876
11 Cádiz;TOTAL EDADES;TOTAL;Mujeres;2020;630.488
11 Cádiz;TOTAL EDADES;TOTAL;Mujeres;2019;628.364
11 Cádiz;TOTAL EDADES;TOTAL;Mujeres;2018;627.357
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2022;585.402
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2021;584.507
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2020;582.905
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2019;581.078
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2018;580.229
39 Cantabria;TOTAL EDADES;TOTAL;Hombres;2022;283.718
39 Cantabria;TOTAL EDADES;TOTAL;Hombres;2021;283.378
39 Cantabria;TOTAL EDADES;TOTAL;Hombres;2020;282.559
39 Cantabria;TOTAL EDADES;TOTAL;Hombres;2019;281.801
39 Cantabria;TOTAL EDADES;TOTAL;Hombres;2018;281.564
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2022;301.684
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2021;301.129
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2020;300.346
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2019;299.277
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2018;298.665
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2022;590.616
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2021;587.064
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2020;585.590
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2019;579.962
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2018;576.898
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Hombres;2022;293.094
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Hombres;2021;291.415
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Hombres;2020;290.799
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Hombres;2019;288.077
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Hombres;2018;286.359
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Mujeres;2022;297.522
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Mujeres;2021;295.649
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Mujeres;2020;294.791
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Mujeres;2019;291.885
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Mujeres;2018;290.539
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2022;490.806
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2021;492.591
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2020;495.045
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2019;495.761
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2018;499.100
13 Ciudad Real;TOTAL EDADES;TOTAL;Hombres;2022;242.918
13 Ciudad Real;TOTAL EDADES;TOTAL;Hombres;2021;243.763
13 Ciudad Real;TOTAL EDADES;TOTAL;Hombres;2020;244.842
13 Ciudad Real;TOTAL EDADES;TOTAL;Hombres;2019;244.877
13 Ciudad Real;TOTAL EDADES;TOTAL;Hombres;2018;246.656
13 Ciudad Real;TOTAL EDADES;TOTAL;Mujeres;2022;247.888
13 Ciudad Real;TOTAL EDADES;TOTAL;Mujeres;2021;248.828
13 Ciudad Real;TOTAL EDADES;TOTAL;Mujeres;2020;250.203
13 Ciudad Real;TOTAL EDADES;TOTAL;Mujeres;2019;250.884
13 Ciudad Real;TOTAL EDADES;TOTAL;Mujeres;2018;252.444
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2022;772.464
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2021;776.789
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2020;781.451
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2019;782.979
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2018;785.240
14 Córdoba;TOTAL EDADES;TOTAL;Hombres;2022;378.293
14 Córdoba;TOTAL EDADES;TOTAL;Hombres;2021;380.473
14 Córdoba;TOTAL EDADES;TOTAL;Hombres;2020;382.886
14 Córdoba;TOTAL EDADES;TOTAL;Hombres;2019;383.790
14 Córdoba;TOTAL EDADES;TOTAL;Hombres;2018;385.085
14 Córdoba;TOTAL EDADES;TOTAL;Mujeres;2022;394.171
14 Córdoba;TOTAL EDADES;TOTAL;Mujeres;2021;396.316
14 Córdoba;TOTAL EDADES;TOTAL;Mujeres;2020;398.565
14 Córdoba;TOTAL EDADES;TOTAL;Mujeres;2019;399.189
14 Córdoba;TOTAL EDADES;TOTAL;Mujeres;2018;400.155
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.119.180
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.120.134
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.121.815
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.119.596
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.119.351
15 Coruña, A;TOTAL EDADES;TOTAL;Hombres;2022;536.587
15 Coruña, A;TOTAL EDADES;TOTAL;Hombres;2021;537.004
15 Coruña, A;TOTAL EDADES;TOTAL;Hombres;2020;537.781
15 Coruña, A;TOTAL EDADES;TOTAL;Hombres;2019;536.470
15 Coruña, A;TOTAL EDADES;TOTAL;Hombres;2018;536.637
15 Coruña, A;TOTAL EDADES;TOTAL;Mujeres;2022;582.593
15 Coruña, A;TOTAL EDADES;TOTAL;Mujeres;2021;583.130
