Nacional;Comunidades y Ciudades Autónomas;Causas (lista reducida);Edad;Sexo;Total
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 30 a 39 años;Mujeres;17
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 40 a 44 años;Hombres;80
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 40 a 44 años;Mujeres;29
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 45 a 49 años;Hombres;153
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 45 a 49 años;Mujeres;55
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 50 a 54 años;Hombres;290
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 50 a 54 años;Mujeres;81
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 55 a 59 años;Hombres;440
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 55 a 59 años;Mujeres;140
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 60 a 64 años;Hombres;638
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 60 a 64 años;Mujeres;226
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 65 a 69 años;Hombres;750
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 65 a 69 años;Mujeres;273
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 70 a 74 años;Hombres;935
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 70 a 74 años;Mujeres;473
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 75 a 79 años;Hombres;1.290
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 75 a 79 años;Mujeres;830
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 80 a 84 años;Hombres;1.539
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 80 a 84 años;Mujeres;1.508
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 85 a 89 años;Hombres;1.649
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 85 a 89 años;Mujeres;2.546
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 90 a 94 años;Hombres;1.266
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 90 a 94 años;Mujeres;2.668
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 95 años y más;Hombres;432
Total Nacional;01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;De 95 años y más;Mujeres;1.287
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 1 a 14 años;Hombres;2
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 1 a 14 años;Mujeres;1
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 15 a 29 años;Hombres;16
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 15 a 29 años;Mujeres;8
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 30 a 39 años;Hombres;33
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 30 a 39 años;Mujeres;6
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 40 a 44 años;Hombres;24
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 40 a 44 años;Mujeres;12
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 45 a 49 años;Hombres;45
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 45 a 49 años;Mujeres;21
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 50 a 54 años;Hombres;86
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 50 a 54 años;Mujeres;26
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 55 a 59 años;Hombres;142
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 55 a 59 años;Mujeres;48
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 60 a 64 años;Hombres;192
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 60 a 64 años;Mujeres;92
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 65 a 69 años;Hombres;279
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 65 a 69 años;Mujeres;133
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 70 a 74 años;Hombres;404
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 70 a 74 años;Mujeres;168
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 75 a 79 años;Hombres;618
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 75 a 79 años;Mujeres;297
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 80 a 84 años;Hombres;836
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 80 a 84 años;Mujeres;475
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 85 a 89 años;Hombres;952
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 85 a 89 años;Mujeres;800
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 90 a 94 años;Hombres;690
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 90 a 94 años;Mujeres;915
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 95 años y más;Hombres;231
Total Nacional;01 Andalucía;062-067 X.Enfermedades del sistema respiratorio;De 95 años y más;Mujeres;455
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 1 a 14 años;Hombres;1
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 1 a 14 años;Mujeres;2
