Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Málaga;;Renta bruta media por hogar;2019;32.451
Total Nacional;Andalucía;Málaga;;Renta bruta media por hogar;2018;30.742
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2022;12.013
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2021;11.292
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2020;10.717
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2019;10.604
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2018;10.083
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2022;31.899
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2021;30.254
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2020;28.912
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2019;28.874
Total Nacional;Andalucía;Sevilla;;Renta neta media por hogar;2018;27.535
Total Nacional;Andalucía;Sevilla;;Media de la renta por unidad de consumo;2022;18.246
Total Nacional;Andalucía;Sevilla;;Media de la renta por unidad de consumo;2021;17.219
Total Nacional;Andalucía;Sevilla;;Media de la renta por unidad de consumo;2020;16.355
Total Nacional;Andalucía;Sevilla;;Media de la renta por unidad de consumo;2019;16.250
Total Nacional;Andalucía;Sevilla;;Media de la renta por unidad de consumo;2018;15.501
Total Nacional;Andalucía;Sevilla;;Mediana de la renta por unidad de consumo;2022;15.750
Total Nacional;Andalucía;Sevilla;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Sevilla;;Mediana de la renta por unidad de consumo;2020;13.650
Total Nacional;Andalucía;Sevilla;;Mediana de la renta por unidad de consumo;2019;13.650
Total Nacional;Andalucía;Sevilla;;Mediana de la renta por unidad de consumo;2018;12.950
Total Nacional;Andalucía;Sevilla;;Renta bruta media por persona;2022;14.387
Total Nacional;Andalucía;Sevilla;;Renta bruta media por persona;2021;13.478
Total Nacional;Andalucía;Sevilla;;Renta bruta media por persona;2020;12.707
Total Nacional;Andalucía;Sevilla;;Renta bruta media por persona;2019;12.550
Total Nacional;Andalucía;Sevilla;;Renta bruta media por persona;2018;11.941
Total Nacional;Andalucía;Sevilla;;Renta bruta media por hogar;2022;38.203
Total Nacional;Andalucía;Sevilla;;Renta bruta media por hogar;2021;36.110
Total Nacional;Andalucía;Sevilla;;Renta bruta media por hogar;2020;34.281
Total Nacional;Andalucía;Sevilla;;Renta bruta media por hogar;2019;34.172
Total Nacional;Andalucía;Sevilla;;Renta bruta media por hogar;2018;32.608
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2022;14.252
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2021;13.679
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2020;13.158
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2019;12.949
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2018;12.513
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2022;34.901
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2021;33.603
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2020;32.521
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2019;32.176
Total Nacional;Aragón;Huesca;;Renta neta media por hogar;2018;31.084
Total Nacional;Aragón;Huesca;;Media de la renta por unidad de consumo;2022;21.013
Total Nacional;Aragón;Huesca;;Media de la renta por unidad de consumo;2021;20.187
Total Nacional;Aragón;Huesca;;Media de la renta por unidad de consumo;2020;19.449
Total Nacional;Aragón;Huesca;;Media de la renta por unidad de consumo;2019;19.177
Total Nacional;Aragón;Huesca;;Media de la renta por unidad de consumo;2018;18.568
Total Nacional;Aragón;Huesca;;Mediana de la renta por unidad de consumo;2022;19.250
Total Nacional;Aragón;Huesca;;Mediana de la renta por unidad de consumo;2021;18.550
Total Nacional;Aragón;Huesca;;Mediana de la renta por unidad de consumo;2020;17.150
Total Nacional;Aragón;Huesca;;Mediana de la renta por unidad de consumo;2019;17.150
Total Nacional;Aragón;Huesca;;Mediana de la renta por unidad de consumo;2018;16.450
Total Nacional;Aragón;Huesca;;Renta bruta media por persona;2022;17.312
Total Nacional;Aragón;Huesca;;Renta bruta media por persona;2021;16.534
Total Nacional;Aragón;Huesca;;Renta bruta media por persona;2020;15.769
Total Nacional;Aragón;Huesca;;Renta bruta media por persona;2019;15.469
Total Nacional;Aragón;Huesca;;Renta bruta media por persona;2018;14.920
Total Nacional;Aragón;Huesca;;Renta bruta media por hogar;2022;42.395
Total Nacional;Aragón;Huesca;;Renta bruta media por hogar;2021;40.617
Total Nacional;Aragón;Huesca;;Renta bruta media por hogar;2020;38.974
Total Nacional;Aragón;Huesca;;Renta bruta media por hogar;2019;38.439
Total Nacional;Aragón;Huesca;;Renta bruta media por hogar;2018;37.066
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2022;13.736
