Nacional;Comunidades y Ciudades Autónomas;Causa de muerte (capítulos de la 10ª revisión de la CIE);Tipo de indicador;Sexo;Total
Total Nacional;10 Comunitat Valenciana;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Mujeres;1.832,50
Total Nacional;10 Comunitat Valenciana;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Hombres;2,37
Total Nacional;10 Comunitat Valenciana;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Mujeres;2,09
Total Nacional;10 Comunitat Valenciana;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Hombres;149,24
Total Nacional;10 Comunitat Valenciana;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;68,91
Total Nacional;10 Comunitat Valenciana;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Hombres;15,93
Total Nacional;10 Comunitat Valenciana;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Mujeres;14,43
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Nº de APVP;Hombres;25.935,50
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Nº de APVP;Mujeres;8.849,00
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Distribución por capítulos de la CIE;Hombres;15,67
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Distribución por capítulos de la CIE;Mujeres;10,08
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.009,17
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;346,66
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Nº medio de APVP;Hombres;26,12
Total Nacional;10 Comunitat Valenciana;Causas externas de mortalidad;Nº medio de APVP;Mujeres;24,05
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Nº de APVP;Hombres;822,50
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Nº de APVP;Mujeres;457,50
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Hombres;2,29
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Mujeres;2,63
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Hombres;150,71
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;80,99
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Hombres;12,28
Total Nacional;11 Extremadura;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Mujeres;10,17
Total Nacional;11 Extremadura;Tumores;Nº de APVP;Hombres;13.220,00
Total Nacional;11 Extremadura;Tumores;Nº de APVP;Mujeres;8.659,50
Total Nacional;11 Extremadura;Tumores;Distribución por capítulos de la CIE;Hombres;36,75
Total Nacional;11 Extremadura;Tumores;Distribución por capítulos de la CIE;Mujeres;49,70
Total Nacional;11 Extremadura;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Hombres;2.362,66
Total Nacional;11 Extremadura;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;1.535,62
Total Nacional;11 Extremadura;Tumores;Nº medio de APVP;Hombres;11,89
Total Nacional;11 Extremadura;Tumores;Nº medio de APVP;Mujeres;14,24
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Hombres;42,50
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Mujeres;45,00
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Hombres;0,12
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Mujeres;0,26
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;7,72
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;8,46
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Hombres;14,17
Total Nacional;11 Extremadura;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Mujeres;11,25
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Hombres;805,00
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Mujeres;367,50
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Hombres;2,24
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Mujeres;2,11
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;150,47
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;65,93
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Hombres;15,48
Total Nacional;11 Extremadura;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Mujeres;11,14
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Nº de APVP;Hombres;475,00
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Nº de APVP;Mujeres;277,50
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Hombres;1,32
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Mujeres;1,59
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Hombres;83,69
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;53,71
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Nº medio de APVP;Hombres;11,31
Total Nacional;11 Extremadura;Trastornos mentales y del comportamiento;Nº medio de APVP;Mujeres;9,57
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Hombres;1.530,00
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Mujeres;1.182,50
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Hombres;4,25
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Mujeres;6,79
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Hombres;283,85
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;227,12
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Hombres;13,91
Total Nacional;11 Extremadura;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Mujeres;12,19
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Nº de APVP;Hombres;7.647,50
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Nº de APVP;Mujeres;2.795,00
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Hombres;21,26
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Mujeres;16,04
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.384,53
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;508,75
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Nº medio de APVP;Hombres;12,56
Total Nacional;11 Extremadura;Enfermedades del sistema circulatorio;Nº medio de APVP;Mujeres;10,28
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Nº de APVP;Hombres;2.600,00
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Nº de APVP;Mujeres;790,00
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Hombres;7,23
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Mujeres;4,53
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;471,20
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;142,97
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Nº medio de APVP;Hombres;9,77
Total Nacional;11 Extremadura;Enfermedades del sistema respiratorio;Nº medio de APVP;Mujeres;9,63
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Nº de APVP;Hombres;2.300,00
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Nº de APVP;Mujeres;942,50
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Hombres;6,39
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Mujeres;5,41
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;415,59
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;182,05
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Nº medio de APVP;Hombres;13,53
Total Nacional;11 Extremadura;Enfermedades del sistema digestivo;Nº medio de APVP;Mujeres;11,36
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Hombres;55,00
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Mujeres;55,00
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Hombres;0,15
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Mujeres;0,32
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;10,07
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;9,71
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Hombres;6,88
Total Nacional;11 Extremadura;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Mujeres;9,17
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Hombres;132,50
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Mujeres;85,00
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Hombres;0,37
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Mujeres;0,49
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;24,00
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;15,78
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Hombres;7,79
Total Nacional;11 Extremadura;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Mujeres;5,31
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Nº de APVP;Hombres;450,00
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Nº de APVP;Mujeres;265,00
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Hombres;1,25
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Mujeres;1,52
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Hombres;82,18
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;46,83
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Nº medio de APVP;Hombres;9,00
Total Nacional;11 Extremadura;Enfermedades del sistema genitourinario;Nº medio de APVP;Mujeres;5,76
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Nº de APVP;Hombres;..
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Nº de APVP;Mujeres;..
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Hombres;..
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Mujeres;..
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;..
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;..
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Nº medio de APVP;Hombres;..
Total Nacional;11 Extremadura;Embarazo, parto y puerperio;Nº medio de APVP;Mujeres;..
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Nº de APVP;Hombres;67,50
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Nº de APVP;Mujeres;..
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Hombres;0,19
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Mujeres;..
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Hombres;15,33
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;..
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Hombres;67,50
Total Nacional;11 Extremadura;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Mujeres;..
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Hombres;264,50
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Mujeres;162,50
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Hombres;0,74
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Mujeres;0,93
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;59,11
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;35,84
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Hombres;44,08
Total Nacional;11 Extremadura;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Mujeres;32,50
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Hombres;712,00
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Mujeres;302,50
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Hombres;1,98
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Mujeres;1,74
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Hombres;142,00
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;53,18
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Hombres;11,67
Total Nacional;11 Extremadura;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Mujeres;10,43
Total Nacional;11 Extremadura;Causas externas de mortalidad;Nº de APVP;Hombres;4.847,50
Total Nacional;11 Extremadura;Causas externas de mortalidad;Nº de APVP;Mujeres;1.037,50
Total Nacional;11 Extremadura;Causas externas de mortalidad;Distribución por capítulos de la CIE;Hombres;13,48
Total Nacional;11 Extremadura;Causas externas de mortalidad;Distribución por capítulos de la CIE;Mujeres;5,95
Total Nacional;11 Extremadura;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;955,33
Total Nacional;11 Extremadura;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;195,02
Total Nacional;11 Extremadura;Causas externas de mortalidad;Nº medio de APVP;Hombres;23,88
Total Nacional;11 Extremadura;Causas externas de mortalidad;Nº medio de APVP;Mujeres;15,96
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Nº de APVP;Hombres;1.640,00
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Nº de APVP;Mujeres;725,00
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Hombres;1,82
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Mujeres;1,62
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Hombres;115,34
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;47,09
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Hombres;10,79
Total Nacional;12 Galicia;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Mujeres;10,36
Total Nacional;12 Galicia;Tumores;Nº de APVP;Hombres;34.897,50
Total Nacional;12 Galicia;Tumores;Nº de APVP;Mujeres;22.299,50
Total Nacional;12 Galicia;Tumores;Distribución por capítulos de la CIE;Hombres;38,78
Total Nacional;12 Galicia;Tumores;Distribución por capítulos de la CIE;Mujeres;49,90
Total Nacional;12 Galicia;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Hombres;2.455,34
Total Nacional;12 Galicia;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;1.479,12
Total Nacional;12 Galicia;Tumores;Nº medio de APVP;Hombres;11,64
Total Nacional;12 Galicia;Tumores;Nº medio de APVP;Mujeres;13,29
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Hombres;202,50
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Mujeres;115,00
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Hombres;0,23
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Mujeres;0,26
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;14,02
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;7,07
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Hombres;10,66
Total Nacional;12 Galicia;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Mujeres;8,21
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Hombres;1.920,00
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Mujeres;999,50
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Hombres;2,13
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Mujeres;2,24
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;133,80
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;75,12
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Hombres;10,21
Total Nacional;12 Galicia;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Mujeres;10,41
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Nº de APVP;Hombres;1.020,00
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Nº de APVP;Mujeres;605,00
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Hombres;1,13
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Mujeres;1,35
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Hombres;71,54
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;35,99
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Nº medio de APVP;Hombres;7,18
Total Nacional;12 Galicia;Trastornos mentales y del comportamiento;Nº medio de APVP;Mujeres;4,96
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Hombres;3.450,00
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Mujeres;2.689,00
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Hombres;3,83
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Mujeres;6,02
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Hombres;249,89
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;191,92
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Hombres;10,85
Total Nacional;12 Galicia;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Mujeres;9,89
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Nº de APVP;Hombres;18.645,00
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Nº de APVP;Mujeres;6.475,00
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Hombres;20,72
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Mujeres;14,49
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.309,45
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;416,05
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Nº medio de APVP;Hombres;12,04
Total Nacional;12 Galicia;Enfermedades del sistema circulatorio;Nº medio de APVP;Mujeres;9,58
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Nº de APVP;Hombres;5.512,00
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Nº de APVP;Mujeres;2.480,00
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Hombres;6,13
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Mujeres;5,55
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;388,66
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;156,92
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Nº medio de APVP;Hombres;8,88
Total Nacional;12 Galicia;Enfermedades del sistema respiratorio;Nº medio de APVP;Mujeres;8,99
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Nº de APVP;Hombres;5.507,50
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Nº de APVP;Mujeres;1.980,00
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Hombres;6,12
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Mujeres;4,43
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;387,48
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;125,97
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Nº medio de APVP;Hombres;12,60
Total Nacional;12 Galicia;Enfermedades del sistema digestivo;Nº medio de APVP;Mujeres;10,88
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Hombres;112,50
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Mujeres;120,00
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Hombres;0,13
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Mujeres;0,27
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;7,83
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;7,69
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Hombres;8,65
Total Nacional;12 Galicia;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Mujeres;6,00
