Nacional;Comunidades y Ciudades Autónomas;Causa de muerte (capítulos de la 10ª revisión de la CIE);Tipo de indicador;Sexo;Total
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Nº de APVP;Mujeres;320,00
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Hombres;1,68
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Mujeres;1,63
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Hombres;96,36
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;45,80
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Hombres;11,86
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Mujeres;13,33
Total Nacional;02 Aragón;Tumores;Nº de APVP;Hombres;15.717,00
Total Nacional;02 Aragón;Tumores;Nº de APVP;Mujeres;9.824,50
Total Nacional;02 Aragón;Tumores;Distribución por capítulos de la CIE;Hombres;40,46
Total Nacional;02 Aragón;Tumores;Distribución por capítulos de la CIE;Mujeres;50,01
Total Nacional;02 Aragón;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Hombres;2.309,63
Total Nacional;02 Aragón;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;1.412,76
Total Nacional;02 Aragón;Tumores;Nº medio de APVP;Hombres;11,79
Total Nacional;02 Aragón;Tumores;Nº medio de APVP;Mujeres;13,53
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Hombres;22,50
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Mujeres;7,50
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Hombres;0,06
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Mujeres;0,04
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;3,05
